machine,cpu,cores,num_cpus,threads_per_core,vcpus,board_name,board_serial,board_uuid,board_version
"\"c220g1.quiho.schedock-pg0.wisc.cloudlab.us\",\"Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz\",8,2,2,32,\"UCSC-C220-M4S\",\"FCH1847V1UH\",\"51C1C7C6-511F-DC46-8D4A-6E544E7C7529\",\"A0\""
"\"c220g2.quiho.schedock-pg0.wisc.cloudlab.us\",\"Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz\",8,2,2,32,\"UCSC-C220-M4S\",\"FCH1847V1RM\",\"AD844D8D-122F-5E40-9E40-76230A2DC67A\",\"A0\""
"\"c6220.quiho.schedock-pg0.apt.emulab.net\",\"Intel(R) Xeon(R) CPU E5-2450 0 @ 2.10GHz\",8,1,2,16,\"PowerEdge R320\",\"97T1DZ1\",\"4C4C4544-0037-5410-8031-B9C04F445A31\",\"NA\""
"\"c6320.quiho.schedock-pg0.clemson.cloudlab.us\",\"Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz\",10,2,1,20,\"PowerEdge C8220\",\"94RXR22\",\"4C4C4544-0034-5210-8058-B9C04F523232\",\"NA\""
"\"c8220.quiho.schedock-pg0.clemson.cloudlab.us\",\"Intel(R) Xeon(R) CPU E5-2660 v2 @ 2.20GHz\",10,2,1,20,\"PowerEdge C8220\",\"9YD7S22\",\"4C4C4544-0059-4410-8037-B9C04F533232\",\"NA\""
"\"d2100.quiho.schedock.emulab.net\",\"Intel(R) Xeon(TM) CPU 3.00GHz\",1,1,2,2,\"PowerEdge 2850\",\"FKS8K71\",\"44454C4C-4B00-1053-8038-C6C04F4B3731\",\"NA\""
"\"d430.quiho.schedock.emulab.net\",\"Intel(R) Xeon(TM) CPU 3.00GHz\",1,1,2,2,\"PowerEdge 2850\",\"1NK6K71\",\"44454C4C-4E00-104B-8036-B1C04F4B3731\",\"NA\""
"\"d530.quiho.schedock.emulab.net\",\"Intel(R) Xeon(TM) CPU 3.00GHz\",1,1,2,2,\"PowerEdge 2850\",\"C268K71\",\"44454C4C-3200-1036-8038-C3C04F4B3731\",\"NA\""
"\"d710.quiho.schedock.emulab.net\",\"Intel(R) Xeon(TM) CPU 3.00GHz\",1,1,2,2,\"PowerEdge 2850\",\"G268K71\",\"44454C4C-3200-1036-8038-C7C04F4B3731\",\"NA\""
"\"d820.quiho.schedock.emulab.net\",\"Intel(R) Xeon(TM) CPU 3.00GHz\",1,1,2,2,\"PowerEdge 2850\",\"BLK6K71\",\"44454C4C-4C00-104B-8036-C2C04F4B3731\",\"NA\""
"\"dl360.quiho.emulab-net.utahddc.geniracks.net\",\"Intel(R) Xeon(R) CPU E5-2450 0 @ 2.10GHz\",8,2,2,32,\"ProLiant DL360e Gen8\",\"MXQ3270061\",\"31313636-3039-584D-5133-323730303631\",\"NA\""
"\"dwill\",\"Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz\",4,1,1,4,\"OptiPlex 790\",\"NA\",\"NA\",\"01\""
"\"issdm-41\",\"Dual-Core AMD Opteron(tm) Processor 2212\",2,2,1,4,\"H8DMR-82\",\"NA\",\"NA\",\"1234567890\""
"\"m510.quiho.schedock-pg0.utah.cloudlab.us\",\"Intel(R) Xeon(R) CPU D-1548 @ 2.00GHz\",8,1,2,16,\"ProLiant m510 Server Cartridge\",\"CN7626V15P\",\"7CF4B520-9363-531C-8E4B-1450CDDE79D9\",\"NA\""
"\"pc2400.quiho.emulab-net.uky.emulab.net\",\"Intel(R) Core(TM)2 Quad CPU    Q9550  @ 2.83GHz\",4,1,1,4,\"Inspiron 530\",\"3PRWJK1\",\"44454C4C-5000-1052-8057-B3C04F4A4B31\",\"NA\""
"\"pc3000.quiho.schedock.emulab.net\",\"Intel(R) Xeon(TM) CPU 3.00GHz\",1,1,2,2,\"PowerEdge 2850\",\"8268K71\",\"44454C4C-3200-1036-8038-B8C04F4B3731\",\"NA\""
"\"pc3300.quiho.emulab-net.uky.emulab.net\",\"Intel(R) Core(TM)2 Quad CPU    Q6600  @ 2.40GHz\",4,1,1,4,\"Inspiron 530\",\"FTBSHG1\",\"44454C4C-5400-1042-8053-C6C04F484731\",\"NA\""
"\"pc3400.quiho.emulab-net.uky.emulab.net\",\"Intel(R) Core(TM)2 Quad CPU    Q6600  @ 2.40GHz\",4,1,1,4,\"Inspiron 530\",\"FTBRHG1\",\"44454C4C-5400-1042-8052-C6C04F484731\",\"NA\""
"\"pc3500.quiho.emulab-net.uky.emulab.net\",\"Intel(R) Core(TM)2 Quad CPU    Q6600  @ 2.40GHz\",4,1,1,4,\"Inspiron 530\",\"7SPNHG1\",\"44454C4C-5300-1050-804E-B7C04F484731\",\"NA\""
"\"r320.quiho.schedock-pg0.apt.emulab.net\",\"Intel(R) Xeon(R) CPU E5-2450 0 @ 2.10GHz\",8,1,2,16,\"PowerEdge R320\",\"97V2DZ1\",\"4C4C4544-0037-5610-8032-B9C04F445A31\",\"NA\""
"\"r720.quiho.schedock-pg0.apt.emulab.net\",\"Intel(R) Xeon(R) CPU E5-2450 0 @ 2.10GHz\",8,1,2,16,\"PowerEdge R320\",\"97T0DZ1\",\"4C4C4544-0037-5410-8030-B9C04F445A31\",\"NA\""
"\"scruffy\",\"Intel(R) Xeon(R) CPU           E5620  @ 2.40GHz\",4,1,2,8,\"X8DTG-QF\",\"NA\",\"NA\",\"1234567890\""
